"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","PollenType","Count","TotalPollen","num"
21,"HBA","CANOPY","2C","N","AM",9,"Other gymnosperm",1,20,93
21,"HBA","CANOPY","2C","N","PM",15,"Other gymnosperm",1,197,94
22,"HBA","CANOPY","2C","S","AM",9,"Other gymnosperm",2,92,95
22,"HBA","CANOPY","2C","S","PM",15,"Other gymnosperm",7,958,96
25,"HBA","CANOPY","3A","N","AM",9,"Other gymnosperm",0,50,97
25,"HBA","CANOPY","3A","N","PM",15,"Other gymnosperm",5,922,98
26,"HBA","CANOPY","3A","S","AM",9,"Other gymnosperm",0,146,99
26,"HBA","CANOPY","3A","S","PM",15,"Other gymnosperm",3,1382,100
29,"HBA","CANOPY","3B","N","AM",9,"Other gymnosperm",0,79,101
29,"HBA","CANOPY","3B","N","PM",15,"Other gymnosperm",5,675,102
30,"HBA","CANOPY","3B","S","AM",9,"Other gymnosperm",2,242,103
30,"HBA","CANOPY","3B","S","PM",15,"Other gymnosperm",4,260,104
33,"HBA","CANOPY","3C","N","AM",9,"Other gymnosperm",4,6398,105
33,"HBA","CANOPY","3C","N","PM",15,"Other gymnosperm",0,576,106
34,"HBA","CANOPY","3C","S","AM",9,"Other gymnosperm",1,483,107
34,"HBA","CANOPY","3C","S","PM",15,"Other gymnosperm",5,679,108
3,"HBA","ROW","1A","N","AM",9,"Other gymnosperm",4,55,109
3,"HBA","ROW","1A","N","PM",15,"Other gymnosperm",2,121,110
4,"HBA","ROW","1A","S","AM",9,"Other gymnosperm",3,307,111
4,"HBA","ROW","1A","S","PM",15,"Other gymnosperm",2,145,112
7,"HBA","ROW","1B","N","AM",9,"Other gymnosperm",0,36,113
7,"HBA","ROW","1B","N","PM",15,"Other gymnosperm",3,176,114
8,"HBA","ROW","1B","S","AM",9,"Other gymnosperm",2,63,115
8,"HBA","ROW","1B","S","PM",15,"Other gymnosperm",7,189,116
11,"HBA","ROW","1C","N","AM",9,"Other gymnosperm",1,93,117
11,"HBA","ROW","1C","N","PM",15,"Other gymnosperm",2,143,118
12,"HBA","ROW","1C","S","AM",9,"Other gymnosperm",0,99,119
12,"HBA","ROW","1C","S","PM",15,"Other gymnosperm",4,303,120
15,"HBA","ROW","2A","N","AM",9,"Other gymnosperm",1,83,121
15,"HBA","ROW","2A","N","PM",15,"Other gymnosperm",6,110,122
16,"HBA","ROW","2A","S","AM",9,"Other gymnosperm",3,180,123
16,"HBA","ROW","2A","S","PM",15,"Other gymnosperm",4,189,124
19,"HBA","ROW","2B","N","AM",9,"Other gymnosperm",2,55,125
19,"HBA","ROW","2B","N","PM",15,"Other gymnosperm",6,200,126
20,"HBA","ROW","2B","S","AM",9,"Other gymnosperm",0,196,127
20,"HBA","ROW","2B","S","PM",15,"Other gymnosperm",7,201,128
23,"HBA","ROW","2C","N","AM",9,"Other gymnosperm",1,40,129
23,"HBA","ROW","2C","N","PM",15,"Other gymnosperm",2,142,130
24,"HBA","ROW","2C","S","AM",9,"Other gymnosperm",0,147,131
24,"HBA","ROW","2C","S","PM",15,"Other gymnosperm",10,349,132
27,"HBA","ROW","3A","N","AM",9,"Other gymnosperm",2,63,133
27,"HBA","ROW","3A","N","PM",15,"Other gymnosperm",2,133,134
28,"HBA","ROW","3A","S","AM",9,"Other gymnosperm",6,234,135
28,"HBA","ROW","3A","S","PM",15,"Other gymnosperm",3,138,136
31,"HBA","ROW","3B","N","AM",9,"Other gymnosperm",1,108,137
31,"HBA","ROW","3B","N","PM",15,"Other gymnosperm",0,179,138
32,"HBA","ROW","3B","S","AM",9,"Other gymnosperm",3,305,139
32,"HBA","ROW","3B","S","PM",15,"Other gymnosperm",2,156,140
35,"HBA","ROW","3C","N","AM",9,"Other gymnosperm",0,118,141
35,"HBA","ROW","3C","N","PM",15,"Other gymnosperm",5,225,142
36,"HBA","ROW","3C","S","AM",9,"Other gymnosperm",3,171,143
36,"HBA","ROW","3C","S","PM",15,"Other gymnosperm",3,226,144
