"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
32,"CSO","ROW","3B","S","AM",9,"17 May 2016","Cherry",0,14,14,0,67
32,"CSO","ROW","3B","S","PM",15,"17 May 2016","Cherry",0,5,5,0,68
35,"CSO","ROW","3C","N","AM",9,"17 May 2016","Cherry",0,17,17,0,69
35,"CSO","ROW","3C","N","PM",15,"17 May 2016","Cherry",0,5,5,0,70
36,"CSO","ROW","3C","S","AM",9,"17 May 2016","Cherry",0,9,9,0,71
36,"CSO","ROW","3C","S","PM",15,"17 May 2016","Cherry",0,4,4,0,72
1,"HBA","CANOPY","1A","N","AM",9,"17 May 2016","Cherry",13,38,25,0.3421052632,73
1,"HBA","CANOPY","1A","N","PM",15,"17 May 2016","Cherry",245,374,129,0.6550802139,74
2,"HBA","CANOPY","1A","S","AM",9,"17 May 2016","Cherry",80,118,38,0.6779661017,75
2,"HBA","CANOPY","1A","S","PM",15,"17 May 2016","Cherry",98,144,46,0.6805555556,76
5,"HBA","CANOPY","1B","N","AM",9,"17 May 2016","Cherry",200,351,151,0.5698005698,77
5,"HBA","CANOPY","1B","N","PM",15,"17 May 2016","Cherry",530,884,354,0.5995475113,78
6,"HBA","CANOPY","1B","S","AM",9,"17 May 2016","Cherry",196,338,142,0.5798816568,79
6,"HBA","CANOPY","1B","S","PM",15,"17 May 2016","Cherry",311,490,179,0.6346938776,80
9,"HBA","CANOPY","1C","N","AM",9,"17 May 2016","Cherry",104,197,93,0.5279187817,81
9,"HBA","CANOPY","1C","N","PM",15,"17 May 2016","Cherry",276,446,170,0.6188340807,82
10,"HBA","CANOPY","1C","S","AM",9,"17 May 2016","Cherry",400,589,189,0.6791171477,83
10,"HBA","CANOPY","1C","S","PM",15,"17 May 2016","Cherry",326,508,182,0.6417322835,84
13,"HBA","CANOPY","2A","N","AM",9,"17 May 2016","Cherry",29,42,13,0.6904761905,85
13,"HBA","CANOPY","2A","N","PM",15,"17 May 2016","Cherry","NA","NA","NA","NA",86
14,"HBA","CANOPY","2A","S","AM",9,"17 May 2016","Cherry",86,138,52,0.6231884058,87
14,"HBA","CANOPY","2A","S","PM",15,"17 May 2016","Cherry",188,291,103,0.64604811,88
17,"HBA","CANOPY","2B","N","AM",9,"17 May 2016","Cherry",81,121,40,0.6694214876,89
17,"HBA","CANOPY","2B","N","PM",15,"17 May 2016","Cherry",5212,7471,2259,0.6976308392,90
18,"HBA","CANOPY","2B","S","AM",9,"17 May 2016","Cherry",58,84,26,0.6904761905,91
18,"HBA","CANOPY","2B","S","PM",15,"17 May 2016","Cherry",1434,2212,778,0.6482820976,92
21,"HBA","CANOPY","2C","N","AM",9,"17 May 2016","Cherry",12,20,8,0.6,93
21,"HBA","CANOPY","2C","N","PM",15,"17 May 2016","Cherry",148,197,49,0.7512690355,94
22,"HBA","CANOPY","2C","S","AM",9,"17 May 2016","Cherry",55,92,37,0.597826087,95
22,"HBA","CANOPY","2C","S","PM",15,"17 May 2016","Cherry",688,958,270,0.7181628392,96
25,"HBA","CANOPY","3A","N","AM",9,"17 May 2016","Cherry",19,50,31,0.38,97
25,"HBA","CANOPY","3A","N","PM",15,"17 May 2016","Cherry",644,922,278,0.6984815618,98
26,"HBA","CANOPY","3A","S","AM",9,"17 May 2016","Cherry",78,146,68,0.5342465753,99
26,"HBA","CANOPY","3A","S","PM",15,"17 May 2016","Cherry",1012,1382,370,0.7322720695,100
29,"HBA","CANOPY","3B","N","AM",9,"17 May 2016","Cherry",42,79,37,0.5316455696,101
29,"HBA","CANOPY","3B","N","PM",15,"17 May 2016","Cherry",493,675,182,0.7303703704,102
30,"HBA","CANOPY","3B","S","AM",9,"17 May 2016","Cherry",130,242,112,0.5371900826,103
30,"HBA","CANOPY","3B","S","PM",15,"17 May 2016","Cherry",179,260,81,0.6884615385,104
33,"HBA","CANOPY","3C","N","AM",9,"17 May 2016","Cherry",3227,6398,3171,0.5043763676,105
33,"HBA","CANOPY","3C","N","PM",15,"17 May 2016","Cherry",369,576,207,0.640625,106
34,"HBA","CANOPY","3C","S","AM",9,"17 May 2016","Cherry",259,483,224,0.5362318841,107
34,"HBA","CANOPY","3C","S","PM",15,"17 May 2016","Cherry",383,679,296,0.5640648012,108
3,"HBA","ROW","1A","N","AM",9,"17 May 2016","Cherry",27,55,28,0.4909090909,109
3,"HBA","ROW","1A","N","PM",15,"17 May 2016","Cherry",65,121,56,0.5371900826,110
4,"HBA","ROW","1A","S","AM",9,"17 May 2016","Cherry",222,307,85,0.7231270358,111
4,"HBA","ROW","1A","S","PM",15,"17 May 2016","Cherry",78,145,67,0.5379310345,112
7,"HBA","ROW","1B","N","AM",9,"17 May 2016","Cherry",16,36,20,0.4444444444,113
